purview,name,cost,dice_pool,resistance,description,id,tier,action,duration,prerequisites,tags
Illusion,Nocturnal Director,3 Legend + 1 Willpower,Manipulation + Art,—,Rewrites a sleeping target’s dreams for hours per success.,093ec14a-2961-4abe-be51-48e50961c269,1,,,[],[]
Sound,Sonic Blast,10 Legend + 1 Willpower,Strength + Athletics,—,Creates a devastating sonic shockwave causing lethal damage and deafness.,0c799d8f-ef9b-44ea-9ec3-581e940672b9,1,,,[],[]
Sound,Howl of the Banshee,5 Legend + 1 Willpower,Charisma + Presence,—,A terrifying scream inflicting unsoakable lethal damage on those who hear it.,0cdc0163-0891-4ed3-b178-f99966edc981,1,,,[],[]
Guardian,Confer Knack,1 Willpower + 3 Legend,None,—,The Scion grants a mortal one Epic Stamina Knack temporarily.,0d7e8cf6-7e68-491f-b98b-8878840b0c03,1,,,[],[]
Earth,Avatar of Earth (The Shaper),1 Willpower + 30 Legend,,—,"For one scene, the Scion becomes The Shaper, master of earth and stone.",0debeb8c-842a-4b08-82ae-ddfe1e4e5370,1,,,[],[]
Fire,Avatar of Fire (The Devourer),1 Willpower + 30 Legend,None,—,"For one scene, the Scion becomes the Devourer, an apocalyptic avatar of consuming flame.",0e0130c3-cdee-4f2a-8086-45ee1a5122cb,1,,,[],[]
Frost,Ymir’s Hand,15 Legend,Dexterity + Craft,—,The Scion blankets miles in supernatural cold for a full day.,0e7dec1d-089b-4b95-b1e8-76f234e63e62,1,,,[],[]
Health,Blessing of Health / Curse of Frailty,1 Legend,Stamina + Medicine,—,Restores or removes reproductive capability and may bless or curse unborn children. Each additional condition increases difficulty by 1. Duration is one year per success.,113ddfc7-22cc-48f1-a474-f534fc92ce6f,1,,,[],[]
Innovation,Jury Rig,5 Legend,Intelligence + Craft,—,Restores destroyed equipment with penalties reduced by successes.,11773648-d5bd-4232-b4c6-47989c820b16,1,,,[],[]
Fertility,Toxic Thorn,1 Legend,Intelligence + Science,—,Grows a poisonous thorn that delivers customizable toxins.,11e6467e-f727-4e23-bcd8-66e6e08a9242,1,,,[],[]
Darkness,Shadow Bodies,1 Willpower + 5 Legend,Charisma + Presence,—,Creates semi-solid shadow duplicates that act in coordination. Duplicates are immune to bashing but vulnerable to lethal damage.,13abe277-7a27-469e-854a-7d14e24ab37d,1,,,[],[]
Fertility,Greenskin,2 Legend,,—,"Grants plant-like traits, extra soak, photosynthesis, and immunity to bleeding.",13b23908-a97b-4499-80e5-201f3ad0a101,1,,,[],[]
Moon,Full Moon,5 Legend + 1 Willpower,Appearance + Presence,—,"Exerts full-moon effects on environment, Virtues, tides, and other Purviews.",163f1e77-0ab4-4e32-ac0f-f7aa9f99a1da,1,,,[],[]
Darkness,Shadow Refuge,1 Legend,Dexterity + Stealth,—,The Scion hides within a shadow large enough to contain him. Mundane detection fails automatically; supernatural detection is contested.,16ae8f6b-fa43-40a3-a358-804350b3810c,1,,,[],[]
Darkness,Afraid of the Dark,1 Legend,Manipulation + Empathy,—,The target experiences a moment of terrifying darkness and loses one Willpower. Ineffective against higher-Legend targets; others may resist.,175e0f67-b4aa-4b86-b430-46a272f45b0e,1,,,[],[]
Darkness,Heart of Darkness,5 Legend,Manipulation + Empathy,—,Inverts a target’s Virtues. Duration and permanence depend on relative Legend. Can be resisted.,1a146563-33e3-43fd-8c33-f374cfcc53ae,1,,,[],[]
Frost,Blizzard Call,1 Willpower + 3 Legend,Stamina + Craft,—,"The Scion summons and shapes massive cold, snow and ice over a wide area.",1b52f7b7-7b11-4156-b48a-6817314718c3,1,,,[],[]
Guardian,Salvation Sacrifice,2 Legend per attack,None,—,The God redirects damage from a protected target onto himself.,1b804248-b886-47ec-b1f7-8c935a1135b4,1,,,[],[]
Sound,Volume,5 Legend,None,—,"Increases or decreases sound volume in a wide radius, potentially causing damage or deafness.",1bd5e871-ca34-4263-b873-8884ca379680,1,,,[],[]
Fertility,Eternal Bloom,2 Legend per plant/patch,Stamina + Survival,—,Grants plants eternal life within a defined area.,1be33e0b-2302-4a66-8074-ee23c617fcf8,1,,,[],[]
Dream,Dreams Come True,10+ Legend + Willpower,Perception + Integrity,—,Creates objects or beings directly from dreams.,1c376cac-4f03-4f45-980f-a25ce03c0748,1,,,[],[]
Chaos,Bacchanalia,5 Legend + 1 Willpower,Charisma + Art,—,"Creates a hedonistic revel affecting all within radius. Duration equals total Chaos Boons. Afterward, affected lose all Willpower and recover at half rate for a week.",1cd3ad37-7c4d-41ba-b63a-9dbc934b9727,1,,,[],[]
Animal,Create Animal,1 Willpower + 1 Lethal + Legend,,—,The Scion creates mundane animals from his blood. Without Legend they last one scene; spending Legend grants physical permanence based on size units.,1df3094e-0df5-4a82-a572-6da8a54622dd,1,,,[],[]
Fire,Inferno,3 Legend,Charisma + Craft,—,The Scion ignites an area into bonfire-intensity flames for minutes equal to Legend; victims may escape with contested rolls.,1e839671-0f74-4408-b78f-b5fa8137db84,1,,,[],[]
Frost,Winter’s Mercy,1 Legend per recipient,None,—,Extends Frost Immunity to others for one scene per Legend.,1ebd880b-9c61-498f-93c7-dd57b6a22ec1,1,,,[],[]
Death,Corpse Oracle,1 Legend per use,Charisma + Command,—,"Commands a corpse, ghost, or undead to answer questions truthfully, one per three successes.",1fc825d5-5e08-4977-9a80-74eec0d4b046,1,,,[],[]
Fertility,Impossible Hybrid,10 Legend,Intelligence + Survival,—,Creates viable plant hybrids that cannot exist naturally.,1fc9949a-5344-4074-89ff-15a3f00f7d9f,1,,,[],[]
Prophecy,Lateral Prognostication,1 Willpower,None,—,"Grants a vision in the form 'If you do A, result will be B', providing future-oriented solutions to narrative blocks.",1fcad7a1-4adb-48ae-a2cb-5cb5bd5e83bc,1,,,[],[]
Justice,Sympathy Pains,1 Legend + 1 Willpower,Wits + Command,—,"Links damage between multiple targets; damage ignores soak. If one dies, others die unless they escape the link.",200eaac2-6b0a-4cf6-b21a-f2b88d40da68,1,,,[],[]
Earth,Property Infusion,5 Legend per property,Intelligence + Science,—,Swaps physical properties between materials.,20de49d2-610d-4c73-b3ef-f05108171025,1,,,[],[]
Darkness,Eclipse,1 Willpower + 15 Legend,Strength,—,Creates massive supernatural darkness over miles. Not reduced by sunlight; lasts hours equal to successes.,211f69f9-5795-4644-aeb0-a0f525733de4,1,,,[],[]
Emotion,Heart’s Shackle,10 Legend + 1 Willpower,Manipulation + Command,—,"Imposes a long-lasting or permanent emotional condition, potentially fatal to low-Legend mortals.",2384ed20-8db5-49dc-a25a-0cede72f7897,1,,,[],[]
Sky,Tornado Tamer,4 Legend per Epic Strength,Wits + Control,—,"Creates and controls a personal tornado with Epic Strength, capable of movement, attacks and carrying the Scion.",23a3a7e3-18ff-462b-9ff2-3aa0eb228535,1,,,[],[]
Death,Exorcism,1 Willpower,Charisma + Occult,—,"Expels ghosts from hosts, banishes them from the World, or repels groups of ghosts.",24bb6452-1c84-4fdf-ba5b-3de77ba0dd45,1,,,[],[]
Prophecy,Voice of Fate,Variable Legend,None or Intelligence + Occult,—,Allows the Scion to transmit Prophecy Boons to mortal oracles or followers across any distance.,24d71005-43f9-47df-a0bf-0b68f69284a0,1,,,[],[]
Health,Human Hybrid,1 Willpower + 10 Legend,Intelligence + Medicine,—,"Creates grotesque or cross-species human hybrids, raising their Legend by 1.",25214b2e-a49b-46c0-862b-fdffdf2a70c0,1,,,[],[]
Earth,Shaping,1 Legend,Dexterity + Craft,—,"Allows sculpting of stone, metal, or earth as if it were clay.",2528ebfb-b68f-43df-812e-d0bef7243a75,1,,,[],[]
Fertility,Bless or Blight,3 Legend,Stamina + Survival,—,Blesses land against blight or curses it with devastating infestation.,276187ff-f141-43a1-a16a-f28d9c32ce5d,1,,,[],[]
Stars,Astral Beast,10 Legend + 1 Willpower,Charisma + Science,—,Summons a loyal constellation-beast for a limited duration.,2879361b-de80-4eca-b3d9-8d4704a76823,1,,,[],[]
Dream,Krueger’s Blades,2 Legend + 1 Willpower,None,—,Dream injuries become real physical wounds.,2921f8c1-aca3-45ff-a5f3-effc8d291166,1,,,[],[]
Prophecy,Danger Sense,None,None,—,Adds bonus dice equal to highest Prophecy Boon when rolling Join Battle or Perception + Awareness to detect surprise or traps.,2949e369-cdd1-4876-b6fc-da428ca12805,1,,,[],[]
Emotion,Object of Desire,1 Legend + 1 Willpower,Wits + Command,—,Makes the target the focus of a powerful shared emotion for the scene.,29792d46-696c-4ff4-a091-4bc012aff90e,1,,,[],[]
Earth,Seismic Disruption,15 Legend + 2 Willpower,Strength + Craft,—,Triggers devastating earthquakes with effects based on successes.,298f0858-c068-44c1-b07a-2c7881f55473,1,,,[],[]
Sky,Weather Husbandry,Varies,Strength + Survival,—,"Allows full control and micromanagement of weather over miles, including environmental damage.",2a1f61b7-92e3-4541-8f44-ca09b59cfa2e,1,,,[],[]
Water,Water Vortex,Varies,Wits + Control,—,Creates controllable whirlpool or waterspout.,2a8683bf-403a-4968-a448-cb9c70499344,1,,,[],[]
Fire,Flame Travel,1 Legend,None,—,The Scion travels instantly between large fires in line of sight or affected by Bolster Fire.,2b07c5c9-ef2f-4904-9fb5-d03afb9ccaae,1,,,[],[]
War,Battle Map,1 Legend,Perception + Survival,—,Creates real-time tactical battlefield map.,2b6ee124-0c6e-49c0-a741-8ce8d79fe742,1,,,[],[]
Stars,Starfire,3 or 5 Legend + 1 or 2 Willpower,None,—,Envelops the Scion in stellar flame dealing aggravated damage.,2b83cb5e-bf5b-4c57-9bb7-110687b823f1,1,,,[],[]
Chaos,Eye of the Storm,1 Legend per scene,,—,"When the Scion is caught in a chaotic situation unrelated to her, she may activate this Boon to become an island of calm. Environmental hazards, stampeding crowds, debris and similar dangers fail to touch her as long as she does not actively involve herself. Normal environmental movement penalties still apply.",2ba5be94-8ddd-4237-82a7-765a562ca29a,1,,,[],[]
Darkness,Absorb Light,2 Legend,,—,"The Scion absorbs all light, gaining Stealth bonuses and immunity to Sun Purview effects from lower-Legend sources. Lasts one scene.",2bd477f7-3a9f-4916-b10c-a200e01b274e,1,,,[],[]
Sun,Burn,1 Legend + 1 Willpower,None,—,Body radiates heat for one scene; touching Scion inflicts lethal damage equal to Legend.,2d49c449-f2d5-4c07-8ad3-08effe23256b,1,,,[],[]
Health,Self Diagnosis,1 Legend,None,—,"For the remainder of the scene, the Scion may use Health Boons on herself without changing their costs or dice pools.",2e421f20-f9b9-4476-942d-6c80fd1ad821,1,,,[],[]
Illusion,Fool’s Gold,2 Legend per item,Manipulation + Art,—,Makes objects appear to be something else of similar size and nature.,2e7a69fb-3948-41b9-9984-c4bd6305b722,1,,,[],[]
Emotion,Emotional Awareness,None (1 Legend for details),Perception + Empathy,—,"Allows the Scion to perceive a chosen emotion in others and probe its depth, cause and focus.",2ecbcc5f-d83f-4315-a382-01e2df763e0d,1,,,[],[]
Guardian,Warning Line,1 Legend,Perception + Awareness,—,The Scion draws a mystical line that alerts her when specific beings cross it.,2fe72951-6128-4f9a-aa4b-f15f1034f80c,1,,,[],[]
Water,Mermaid’s Kiss,1 Legend/person,None,—,Grants Water Breathing to others for 24 hours.,31013fea-271b-45b9-bfe6-f106f56843eb,1,,,[],[]
Sky,Sky’s Grace,1 Legend,None,—,The Scion takes no damage from falls of any height or may double jump distance. May mitigate knockback by spending Legend to halt movement mid-air.,317a4423-3be4-4beb-923d-5cb5e0628261,1,,,[],[]
Death,Bleak Census,3 Legend + 1 Willpower,Perception + Occult,—,Determines whether a named individual is dead and may answer questions about their death or afterlife.,31cc4cd8-322e-4cd6-b99f-a737e9536413,1,,,[],[]
Emotion,Social Disease,5 Legend + 1 Willpower,Manipulation + Empathy,—,Creates a contagious emotional state that spreads to all who encounter the initial victim.,32b3f073-3b84-4b54-9eb5-443ae518e28f,1,,,[],[]
Fire,Fire Immunity,None,None,—,"The Scion takes no damage from fire, suffers no smoke inhalation, and extreme heat is harmless. Immunity applies regardless of fuel but does not protect clothing or items except the Birthright used to channel the Boon.",3611bb5e-014a-47fd-9da1-7ffb4b07a0b3,1,,,[],[]
Water,Potability,1 Legend,None,—,Makes a small body of water safe to drink.,3642383f-f673-4388-b94a-6703504c6bbd,1,,,[],[]
Illusion,The Subtle Knife,1 Legend per item,Manipulation + Larceny,—,Makes small items unobtrusive and ignored unless used overtly. Observers may resist.,365db394-f0ad-4a38-9d92-09828b150651,1,,,[],[]
Darkness,Shadow Plunder,5 Legend + 1 Willpower,Manipulation + Command,—,"Steals a target’s shadow, penalizing their social rolls while empowering the Scion socially for the duration.",36cf4b73-bda3-4b33-8a09-81d03cd5f538,1,,,[],[]
Sound,Polphony,1 Legend + 1 Willpower,None,—,Allows multiple simultaneous speeches or conversations in a scene.,3702d4be-dd83-4495-9ed9-14e9dd144691,1,,,[],[]
Fertility,Natural Camouflage,1 Legend,Dexterity + Stealth,—,Renders the Scion nearly impossible to detect in natural environments.,37e721b2-d5ba-4d38-a74e-398c1e563095,1,,,[],[]
Fertility,Avatar of Fertility (The Green),1 Willpower + 30 Legend,,—,"For one scene, the Scion becomes The Green, absolute master of plant life.",3827642e-6c6a-40af-ad4d-3b57bee18a61,1,,,[],[]
Justice,Sanctify Oath,10 Legend,Charisma + Command + Legend,—,Sanctifies oaths; breaking them causes automatic botches equal to threshold successes.,386600e6-dc02-4225-8e2c-84bee9866cd4,1,,,[],[]
Moon,Phase Body,5 Legend,Dexterity + Stealth,Varies,"Makes parts of body intangible, subtracting successes from enemy attacks.",386bb595-6ecd-4cac-93af-ea031f2fa566,1,,,[],[]
Health,Holy Font / Epidemic,1 Legend or 1 Willpower,Stamina + Medicine,—,"As Heal/Infect, but affects up to Legend × 3 targets per activation.",396cd500-167d-4ace-8a18-62762c56a9b1,1,,,[],[]
Chaos,Chaos Theory,1 Legend,None,—,"Entropy works against the target, inflicting a cumulative −1 dice penalty on every action they take. The effect ends when the penalty equals the target’s Legend.",39b84bef-a05b-47b1-9191-3dabdf0fe5cc,1,,,[],[]
Fire,Blazing Weapon,1 Legend per weapon,None,—,"The Scion forms a melee weapon of fire or enhances an existing weapon with flaming traits for one scene, assigning traits based on Legend. Deals lethal damage and ignites flammables.",3a3e6d36-581e-442d-a254-38512dfd06a0,1,,,[],[]
Innovation,Work Harder,1 Legend + 1 Willpower,Stamina + Survival,—,Reduces fatigue penalties for extended labor.,3b69ea04-b299-4d55-9cc8-fc5bd1c0daf0,1,,,[],[]
Death,Open Underworld Portal,5 Legend,Dexterity + Occult,—,"Opens a one-way portal to the Underworld, allowing followers to pass through.",3bc30818-ba22-4d71-965d-c6fbde1506a1,1,,,[],[]
Animal,Protean Understanding,,,—,All Animal Boons apply to all animals. This Boon is passive and permanently expands all Animal capabilities.,3c06f198-0289-4154-9acb-81e1eea8db2f,1,,,[],[]
War,Blessing of Ammunition,Varies,None,—,Grants weapons unlimited ammunition temporarily or permanently.,3c6e5d10-e184-41d7-b96f-9ef4322ebb8a,1,,,[],[]
Guardian,Watcher at the Threshold,5 Legend,None,—,The Scion teleports to a Warning Line when it is crossed.,3d8a2cca-2944-4d79-b551-80ea7a871144,1,,,[],[]
Chaos,Paralyzing Confusion,1 Willpower,Wits + Empathy,—,"The victim’s rational thoughts dissolve into chaotic noise. On success, the target is frozen, unable to think, speak or act, unaware of surroundings. Duration equals successes; memory for an equal time before activation is erased. Does not affect targets with higher Legend. Equal Legend targets contest with (Willpower + Integrity + Legend).",3de1bfa1-206b-4aee-89d4-01e0a911fe0e,1,,,[],[]
Fire,Flamin’ Bullets,1 Legend per scene,None,—,"The Scion imbues a projectile weapon’s ammunition with fire, granting +1 Accuracy and Damage, lethal damage, ignition, and leaving no evidence.",3e506e8e-b423-424c-bf72-17f9ed28cda6,1,,,[],[]
Sun,Flare Missile,1 Legend/missile,None,—,"Creates ammunition of sunlight adding Legend damage, lethal, Piercing.",3f0fd86a-3d60-45ec-8cc8-f4a6c8ca6489,1,,,[],[]
Darkness,Shadow Mask,1 Legend,Dexterity + Larceny,—,"The Scion cloaks his face in shadow, becoming unrecognizable to humans and electronics. Lasts up to 24 hours and is not dispersed by light.",3f5dfc2f-00c7-4209-9566-c3288b7bac52,1,,,[],[]
Water,Water Breathing,None,None,—,Allows breathing water and immunity to temperature extremes.,40dabab9-0bbc-4182-89fd-7935cceaedb0,1,,,[],[]
Guardian,Safe Haven,Permanent Willpower,None,—,"Declares a city-sized location under divine protection, functioning as a permanent Vigil Brand.",415347f0-2d0d-4d49-8f80-9555b94a38dd,1,,,[],[]
Sun,Avatar of the Sun,30 Legend + 1 Willpower,None,—,Transforms into solar avatar for one scene with overwhelming divine effects.,4217ab0b-756c-43c5-bbcd-08514d45cd5c,1,,,[],[]
Animal,Animal Aspect,1 Legend per action,Stamina + Animal Ken,—,"By meditating for one action on a token representing his animal, the Scion adopts a metaphorical characteristic associated with it. The bonus dice equal successes rolled and apply to the Attribute most closely tied to that trait. Duration lasts one action per Legend spent.",43c57144-b055-4544-b6ca-45e6435e0116,1,,,[],[]
Animal,Hybrid Chimera,10 / 15 / 20 Legend,Intelligence + Animal Ken,Combined Stamina,The Scion blends incompatible animals into fertile hybrids using ichor. Costs vary based on hybrid complexity.,44ada93d-5946-471f-b273-9486aa5a587b,1,,,[],[]
Time,To Everything There Is a Season,3 Legend,Manipulation + Fortitude,—,Ages or regresses a living being temporarily by age categories.,451e4225-1dfe-4b8c-8775-d9000c3e6c49,1,,,[],[]
Health,Restore / Wither,1 Legend,None or Intelligence + Medicine,—,Instantly restores limbs or inflicts aggravated damage with withering effects.,45317d37-d9b7-49ce-9d43-236bb8a5adc9,1,,,[],[]
Fire,Baelfyr,3 Legend per use,None,—,"When activated with another Fire Boon, all damage from that Boon becomes aggravated.",45ac3c0d-6360-4aa8-8d78-43aaa41c63c0,1,,,[],[]
Health,Plague / Cure,15 Legend,Intelligence + Medicine,—,"Creates or eradicates diseases entirely, with mechanics based on successes.",478e8227-9d3a-402e-8a39-17573cae85ef,1,,,[],[]
Sky,Wind’s Freedom,1 Legend + 1 Willpower/scene,None,—,Grants true three-dimensional movement (flight) for the scene. Ends if the enabling Birthright is lost.,47c6ff94-7267-4b27-8c86-ecc979faceff,1,,,[],[]
Darkness,Shadow Shroud,1 Willpower + 3 Legend,Strength,—,Creates an area of supernatural darkness. Only Night Eyes can see within. Sunlight slowly dissipates the effect.,4850cdbd-560e-40df-8f17-391f8275814f,1,,,[],[]
Fertility,Verdant Creation,1 Willpower + 3 Legend,Intelligence + Survival,—,Creates living plants from nothing that survive for a year.,4945b340-b45f-4855-9bb5-961ffae2ba97,1,,,[],[]
Justice,Guilt Apparitions,1 Legend,Manipulation + Integrity,—,"Accused guilty target suffers recurring hallucinations, cannot regain Willpower. Lasts days equal to successes or until confession or amends.",4982aa22-616d-4f3d-9ad7-5d840e4b20e1,1,,,[],[]
Prophecy,Minor Visions,None,None,—,"Once per session, the Storyteller provides a Minor Vision concerning a future scene. Visions are always true and precise unless thwarted by a being with Legend. If no vision is given, the Scion may request one at session end.",4a87fe31-1f93-4744-b138-c9bad766e60b,1,,,[],[]
Innovation,Fixit,1 Legend,Perception + Craft,—,"Repairs damaged equipment instantly, restoring health levels.",4bc543e6-0e0a-4b50-9da6-6717c4985d4b,1,,,[],[]
Chaos,Unlikely Pattern,1 Willpower + 10 Legend,Wits + Craft,—,Thrown items assemble into a desired form. Difficulty varies by complexity. Even successes produce flawless results; odd successes introduce flaws. Permanence requires sacrificing permanent Willpower.,4c4dee81-1c74-4494-80bc-521e6642bba3,1,,,[],[]
Prophecy,Forespeak Destruction,1 Willpower,Manipulation + Occult,—,Reveals a target’s fatal flaw and allows the Scion to force Virtue extremities or terror reactions based on relative Legend.,5048259a-22fd-4af1-ae0e-acaf93ece042,1,,,[],[]
Fertility,Dormant Memory,3 Legend + 1 Willpower,Manipulation + Survival,—,"Reawakens the spirit of dead plant matter, causing rapid regrowth.",5112bb5f-f9b7-4557-a428-f32d378245a2,1,,,[],[]
Death,Summon Ghost,1 Legend,Charisma + Occult,—,Summons a named ghost instantly to the Scion’s presence unless it resists successfully.,5141f483-c8de-4dca-bc55-98bda36bc189,1,,,[],[]
Sun,Penetrating Glare,None,None,—,"Allows the Scion to see clearly through smoke, fog, murky water (if immersed), translucent barriers, and dim light down to candlelight. Does not function in total darkness.",516146ed-4b1f-4c5d-86f2-f68a8f35b935,1,,,[],[]
War,Blessing of Bravery,None,Charisma + Command,—,Grants Willpower and temporary Valor to allies who hear it.,5248223c-bdcb-4295-9834-9e40105829e4,1,,,[],[]
Death,Poltergeist Beacon,1 Legend + 1 Willpower + 1 Lethal,Intelligence + Occult,—,"Marks a target as a beacon for hostile spirits, imposing distraction penalties for weeks equal to threshold successes.",52a396dd-3fc7-42fc-aa66-28a1f476d948,1,,,[],[]
Water,Purify Water,5 Legend + 1 Willpower,Stamina + Medicine,—,Purges all impurities from massive volumes of water.,548368ff-cf3c-4328-ba55-9b03c303ad9e,1,,,[],[]
Fire,Ifrit,5+ Legend,Charisma + Command,—,The God transforms willing mortals into living beings of flame for days equal to successes.,56093bf4-2e74-4718-8a99-157114e2bb42,1,,,[],[]
Chaos,Insanity,5+ Legend,Manipulation + Empathy,—,Overwhelms victims with pure chaos. Mortals go permanently insane; higher-Legend beings suffer temporary madness based on threshold successes. Does not affect mindless or already insane targets.,56c1f028-dfdb-4512-a07a-5bc0caccb731,1,,,[],[]
Emotion,Irresistible Impulse,1 Willpower,Manipulation + Empathy,—,"Creates a powerful emotional surge in a target, granting bonuses and penalties based on the induced emotion.",56c5adf1-b10a-454c-97df-4861c3a7614e,1,,,[],[]
Earth,Earth Creation,1 Legend per cubic yard,Stamina + Craft,—,"Creates earth, stone, or metal from nothing.",57508745-33fb-467d-8307-efe231c8a567,1,,,[],[]
Darkness,Oubliette,10 Legend,(Dexterity or Strength) + Brawl,—,Throws a clinched opponent into a void realm of darkness. Retrieval requires additional Legend expenditure.,597ba6b8-693c-46f9-b2ce-2ee70d537a7e,1,,,[],[]
Death,Strike Dead / Deny Death,10 Legend,Manipulation + Medicine,—,Instantly kills a living target or returns a recently dead corpse to life under strict limits.,598a098a-9d8b-4629-838f-098fa1059399,1,,,[],[]
Chaos,System Failure,5 Legend + 1 Willpower,Intelligence + Craft OR Science,—,All nearby machines catastrophically fail within a large radius. Mundane machines break automatically; magical ones must be overcome individually. Repair requires exceeding activation successes.,5996f3cb-4249-4011-9b33-eb854fccd6e7,1,,,[],[]
Death,Mother’s Touch,1 Legend,,—,Allows the Scion to physically grapple and damage ghosts for one scene.,59acbda6-ad93-4aaf-95e0-69d247e3498b,1,,,[],[]
Justice,Star Chamber,3+ Legend,Charisma + Politics,—,Fate engineers karmic punishment proportional to crimes. Contestable by higher Legend.,5a345f9f-060c-4211-97ee-e62a5dc3e9a9,1,,,[],[]
Death,Avatar of Death (The Reaper),1 Willpower + 30 Legend,,—,"For one scene, the Scion becomes The Reaper, a terrifying avatar of death capable of slaying Gods and Titans.",5ace3e95-8348-4c93-9ead-31065a810f88,1,,,[],[]
Frost,Chill the Blood,1 Legend,Perception + Marksmanship,—,The target suffers Dexterity loss and slower actions for the rest of the scene.,5ae6d5e4-6a7b-43c0-96c0-10fbf927d731,1,,,[],[]
Death,Shambling Horde,5 Legend + 1 Willpower,Charisma + Command,—,Raises multiple zombies at once under unified control.,5beda535-62ef-42e5-9b6a-14f6913fa86a,1,,,[],[]
Psychopomp,Spirit Lamp,2 Legend,Charisma + Occult,—,Makes Scion a beacon to spirits; grants bonuses in the Underworld.,5bf28b85-dd66-4763-b675-a43091ebcff5,1,,,[],[]
Dream,Walk The Dream,1 Legend (+ Willpower over time),None,—,Allows travel through the Dream World and entry into others’ dreams.,5c0361ff-ef9a-4d4c-8d64-c7bc5c459a30,1,,,[],[]
Frost,Cooling Tempers,3 Legend,Charisma + Empathy,—,Forces those affected to spend Willpower to initiate violence until they break free.,5c34a35e-7153-4bbb-84cf-ee9e1f437dbd,1,,,[],[]
Illusion,The Best Trick,15 Legend,Manipulation + Craft,—,Creates an illusion so real it temporarily becomes reality.,5e714370-5cd1-4c87-b0c4-412980eebadb,1,,,[],[]
Darkness,Night Eyes,,,—,"Darkness no longer imposes visibility penalties. The Scion sees in pitch blackness, though colors are lost. Does not allow sight through physical barriers.",6013fa3e-3a24-49cf-9e1f-ed89d2a51a9d,1,,,[],[]
Sun,Daybreak,10 Legend + 2 Willpower,Strength + Presence,—,"Forces sunrise or zenith; restores Willpower to most beings; penalizes Darkness, Sky and Stars Boons.",607dcf95-ebf4-4a62-ad6b-f303769d44d4,1,,,[],[]
Dream,Slumber Cage,2 Legend + 1 Willpower,None,—,Traps a dreamer within their own dream or grants total control of the dream.,60d38453-7cb8-40ef-b1c2-893790d0495e,1,,,[],[]
Sun,Bleach,5 Legend + 1 Willpower,Appearance + Presence,—,Inflicts lethal sunburn damage equal to Legend in radius; can combine with Burn.,6132d0ea-63d7-4fbd-b9aa-30a50cfe2c70,1,,,[],[]
Health,Intoxicate / Detoxify,2 Legend,Manipulation + Medicine,—,Simulates intoxication or purges it entirely. Does not affect poisons.,62552d52-1924-4042-9d25-f23d080d6e4e,1,,,[],[]
